;Name;Country;City;Address;Latitude;Longitude;Research? ;Specialized in EOL? ;Temporary?;Public?;Independent?;Since;University?;Which University;Notes;Website;type_research;type_research_2
1;End-of-Life Research Program;AU;Brisbane;2 George St, Brisbane City QLD 4000, Australia;-27.47760041;153.0277366;Yes;No;No;No;Yes;;Yes;Queensland University of Technology;;https://research.qut.edu.au/achlr/research-expertise/end-of-life/?_gl=1*g30ukd*_ga*MTE4ODU3MDg3MS4xNzY5MjQzODA0*_ga_S1B55LT1H8*czE3NjkyNDM4MDMkbzEkZzAkdDE3NjkyNDM4MDMkajYwJGwwJGgw ;Qualitative/Quantitative;Law, Ethics, Clinical
4;Service de soins palliatifs et de support - CHUV;CH;Lausanne;"Av. Pierre-Decker 5
CH - 1011 Lausanne";46.52708922;6.643451553;Yes;Yes;No;Yes;Yes;;Yes;Université de Lausanne;;https://www.chuv.ch/fr/soins-palliatifs/spl-home ;Qualitative/Quantitative;Clinical, Ethics
5;International Observatory on End of Life Care (IOELC);UK;Lancaster;"Lancaster University
Lancaster
LA1 4YW
United Kingdom";54.01082801;-2.787144056;Yes;Yse;No;No;Yes;;Yes;Lancaster University;;https://www.lancaster.ac.uk/health-and-medicine/research/ioelc/ ;Qualitative/Quantitative;Clinical, Ethics
14;INEDyTO;ES;Granada;Av. del Hospicio, 1, Albaicín, 18012 Granada, Spagna;37.18402234;-3.600421504;Yes;Yes;No;No;Yes;;No;NA;;https://www.inedyto.com/ ;Qualitative;Ethics, Law
